region,neighborhood,customers_out,status,outage_number,etr_display,etr_utc,latitude,longitude,count_others,objectid_snapshot,retrieved_utc
LA_METRO,KOREATOWN,14,ASSIGNED,4,09/10/2026 05:30,2026-09-10T12:30:00Z,34.06105,-118.30086299999999,,244906,2026-09-10T15:02:24Z
LA_METRO,HISTORIC SOUTH-CENTRAL,2351,CREWS WORKING,2,09/10/2026 07:30,2026-09-10T14:30:00Z,34.00472,-118.272376,,244907,2026-09-10T15:02:24Z
LA_METRO,WESTWOOD,1371,CREWS WORKING,1,09/10/2026 04:00,2026-09-10T11:00:00Z,34.068380999999995,-118.425462,,244908,2026-09-10T15:02:24Z
LA_METRO,KOREATOWN,82,REPORTED OUTAGE,2,09/10/2026 02:30,2026-09-10T09:30:00Z,34.058869,-118.300441,,244909,2026-09-10T15:02:24Z
LA_METRO,WOODLAND HILLS,12,ASSIGNED,1,09/10/2026 11:00,2026-09-10T18:00:00Z,34.151179,-118.629401,,244910,2026-09-10T15:02:24Z
LA_METRO,WESTCHESTER,188,ASSIGNED,1,09/10/2026 01:00,2026-09-10T08:00:00Z,33.97011,-118.380409,,244911,2026-09-10T15:02:24Z
LA_METRO,LEIMERT PARK,20,REPORTED OUTAGE,2,09/10/2026 13:30,2026-09-10T20:30:00Z,34.017421,-118.33155099999999,,244912,2026-09-10T15:02:24Z
LA_METRO,ADAMS-NORMANDIE,3,ASSIGNED,1,09/09/2026 22:00,2026-09-10T05:00:00Z,34.031166999999996,-118.303476,,244913,2026-09-10T15:02:24Z
LA_METRO,ATWATER VILLAGE,50,REPORTED OUTAGE,1,09/10/2026 03:00,2026-09-10T10:00:00Z,34.117025999999996,-118.25539,,244914,2026-09-10T15:02:24Z
LA_METRO,RESEDA,18,EN ROUTE,1,,,34.210688999999995,-118.55511,,244915,2026-09-10T15:02:24Z
LA_METRO,VERMONT SQUARE,50,ASSIGNED,1,09/10/2026 03:00,2026-09-10T10:00:00Z,34.007498999999996,-118.300797,,244916,2026-09-10T15:02:24Z
LA_METRO,HOLLYWOOD,64,ASSIGNED,1,09/10/2026 05:00,2026-09-10T12:00:00Z,34.092003,-118.323971,,244917,2026-09-10T15:02:24Z
LA_METRO,MID-WILSHIRE,55,ASSIGNED,1,09/10/2026 14:30,2026-09-10T21:30:00Z,34.056582,-118.347624,,244918,2026-09-10T15:02:24Z
LA_METRO,WEST ADAMS,54,REPORTED OUTAGE,1,09/10/2026 14:30,2026-09-10T21:30:00Z,34.026918,-118.33794,,244919,2026-09-10T15:02:24Z
LA_METRO,HISTORIC SOUTH-CENTRAL,22,REPORTED OUTAGE,4,09/10/2026 00:00,2026-09-10T07:00:00Z,34.010593,-118.270986,,244920,2026-09-10T15:02:24Z
LA_METRO,BEVERLY GROVE,38,REPORTED OUTAGE,1,,,34.065568999999996,-118.371775,,244921,2026-09-10T15:02:24Z
LA_METRO,LOS FELIZ,85,ASSIGNED,2,09/10/2026 13:00,2026-09-10T20:00:00Z,34.111765,-118.284827,,244922,2026-09-10T15:02:24Z
LA_METRO,HOLLYWOOD HILLS,8,ASSIGNED,2,,,34.121370999999996,-118.352683,,244923,2026-09-10T15:02:24Z
LA_METRO,WESTLAKE,87,REPORTED OUTAGE,1,,,34.060125,-118.271305,,244924,2026-09-10T15:02:24Z
LA_METRO,FLORENCE,48,ASSIGNED,1,09/09/2026 22:30,2026-09-10T05:30:00Z,33.969847,-118.260673,,244925,2026-09-10T15:02:24Z
LA_METRO,WEST ADAMS,38,REPORTED OUTAGE,2,09/10/2026 00:00,2026-09-10T07:00:00Z,34.026081999999995,-118.34109699999999,,244926,2026-09-10T15:02:24Z
