utility,service_type,record_id,displayID,areaName,current_affected,outage_start_utc,published_etr_utc,latitude,longitude,has_polygon,all_fields_json,retrieved_utc,retrieved_pacific
burbank,Electric,6a926a8a3d693a127035022e,J.E.26.08.00526,N/A,27,2026-08-29T05:13:39Z,2026-08-29T10:45:00Z,34.1794836305788,-118.310904839375,False,"{""id"": ""6a926a8a3d693a127035022e"", ""serviceType"": ""Electric"", ""currentAffected"": 27, ""fieldValues"": {""areaName"": ""N/A"", ""outageStepOffTime"": ""2026-08-29T05:13:39Z"", ""displayID"": ""J.E.26.08.00526"", ""publishedEtr"": ""2026-08-29T10:45:00Z""}, ""lat"": 34.1794836305788, ""lon"": -118.310904839375, ""geoJSONPolygon"": null}",2026-08-29T10:28:49Z,2026-08-29 03:28:49 PDT
burbank,Electric,6a9858b6d25c63683e6734a6,J.E.26.09.00030,N/A,40,2026-09-02T17:08:54Z,N/A,34.1803413962359,-118.331466703574,False,"{""id"": ""6a9858b6d25c63683e6734a6"", ""serviceType"": ""Electric"", ""currentAffected"": 40, ""fieldValues"": {""areaName"": ""N/A"", ""outageStepOffTime"": ""2026-09-02T17:08:54Z"", ""displayID"": ""J.E.26.09.00030"", ""publishedEtr"": ""N/A""}, ""lat"": 34.1803413962359, ""lon"": -118.331466703574, ""geoJSONPolygon"": null}",2026-09-02T18:47:37Z,2026-09-02 11:47:37 PDT
burbank,Electric,6a9858b6d25c63683e6734a6,J.E.26.09.00030,N/A,40,2026-09-02T17:08:54Z,N/A,34.1803413962359,-118.331466703574,False,"{""id"": ""6a9858b6d25c63683e6734a6"", ""serviceType"": ""Electric"", ""currentAffected"": 40, ""fieldValues"": {""areaName"": ""N/A"", ""outageStepOffTime"": ""2026-09-02T17:08:54Z"", ""displayID"": ""J.E.26.09.00030"", ""publishedEtr"": ""N/A""}, ""lat"": 34.1803413962359, ""lon"": -118.331466703574, ""geoJSONPolygon"": null}",2026-09-02T21:22:05Z,2026-09-02 14:22:05 PDT
burbank,Electric,6a989f1fe0fc81361d4ee0a6,J.E.26.09.00050,N/A,22,2026-09-02T22:08:22Z,N/A,34.1749741290545,-118.34790889016,False,"{""id"": ""6a989f1fe0fc81361d4ee0a6"", ""serviceType"": ""Electric"", ""currentAffected"": 22, ""fieldValues"": {""areaName"": ""N/A"", ""outageStepOffTime"": ""2026-09-02T22:08:22Z"", ""displayID"": ""J.E.26.09.00050"", ""publishedEtr"": ""N/A""}, ""lat"": 34.1749741290545, ""lon"": -118.34790889016, ""geoJSONPolygon"": null}",2026-09-02T23:26:41Z,2026-09-02 16:26:41 PDT
burbank,Electric,6a9858b6d25c63683e6734a6,J.E.26.09.00030,N/A,41,2026-09-02T17:08:54Z,N/A,34.1803413962359,-118.331466703574,False,"{""id"": ""6a9858b6d25c63683e6734a6"", ""serviceType"": ""Electric"", ""currentAffected"": 41, ""fieldValues"": {""areaName"": ""N/A"", ""outageStepOffTime"": ""2026-09-02T17:08:54Z"", ""displayID"": ""J.E.26.09.00030"", ""publishedEtr"": ""N/A""}, ""lat"": 34.1803413962359, ""lon"": -118.331466703574, ""geoJSONPolygon"": null}",2026-09-02T23:26:41Z,2026-09-02 16:26:41 PDT
burbank,Electric,6a989f1fe0fc81361d4ee0a6,J.E.26.09.00050,N/A,22,2026-09-02T22:08:22Z,N/A,34.1749741290545,-118.34790889016,False,"{""id"": ""6a989f1fe0fc81361d4ee0a6"", ""serviceType"": ""Electric"", ""currentAffected"": 22, ""fieldValues"": {""areaName"": ""N/A"", ""outageStepOffTime"": ""2026-09-02T22:08:22Z"", ""displayID"": ""J.E.26.09.00050"", ""publishedEtr"": ""N/A""}, ""lat"": 34.1749741290545, ""lon"": -118.34790889016, ""geoJSONPolygon"": null}",2026-09-03T01:24:39Z,2026-09-02 18:24:39 PDT
burbank,Electric,6a9858b6d25c63683e6734a6,J.E.26.09.00030,N/A,41,2026-09-02T17:08:54Z,N/A,34.1803413962359,-118.331466703574,False,"{""id"": ""6a9858b6d25c63683e6734a6"", ""serviceType"": ""Electric"", ""currentAffected"": 41, ""fieldValues"": {""areaName"": ""N/A"", ""outageStepOffTime"": ""2026-09-02T17:08:54Z"", ""displayID"": ""J.E.26.09.00030"", ""publishedEtr"": ""N/A""}, ""lat"": 34.1803413962359, ""lon"": -118.331466703574, ""geoJSONPolygon"": null}",2026-09-03T01:24:39Z,2026-09-02 18:24:39 PDT
burbank,Electric,6a989f1fe0fc81361d4ee0a6,J.E.26.09.00050,N/A,22,2026-09-02T22:08:22Z,N/A,34.1749741290545,-118.34790889016,False,"{""id"": ""6a989f1fe0fc81361d4ee0a6"", ""serviceType"": ""Electric"", ""currentAffected"": 22, ""fieldValues"": {""areaName"": ""N/A"", ""outageStepOffTime"": ""2026-09-02T22:08:22Z"", ""displayID"": ""J.E.26.09.00050"", ""publishedEtr"": ""N/A""}, ""lat"": 34.1749741290545, ""lon"": -118.34790889016, ""geoJSONPolygon"": null}",2026-09-03T06:26:44Z,2026-09-02 23:26:44 PDT
burbank,Electric,6a9858b6d25c63683e6734a6,J.E.26.09.00030,N/A,41,2026-09-02T17:08:54Z,N/A,34.1803413962359,-118.331466703574,False,"{""id"": ""6a9858b6d25c63683e6734a6"", ""serviceType"": ""Electric"", ""currentAffected"": 41, ""fieldValues"": {""areaName"": ""N/A"", ""outageStepOffTime"": ""2026-09-02T17:08:54Z"", ""displayID"": ""J.E.26.09.00030"", ""publishedEtr"": ""N/A""}, ""lat"": 34.1803413962359, ""lon"": -118.331466703574, ""geoJSONPolygon"": null}",2026-09-03T06:26:44Z,2026-09-02 23:26:44 PDT
burbank,Electric,6a989f1fe0fc81361d4ee0a6,J.E.26.09.00050,N/A,24,2026-09-02T22:08:22Z,N/A,34.1749741290545,-118.34790889016,False,"{""id"": ""6a989f1fe0fc81361d4ee0a6"", ""serviceType"": ""Electric"", ""currentAffected"": 24, ""fieldValues"": {""areaName"": ""N/A"", ""outageStepOffTime"": ""2026-09-02T22:08:22Z"", ""displayID"": ""J.E.26.09.00050"", ""publishedEtr"": ""N/A""}, ""lat"": 34.1749741290545, ""lon"": -118.34790889016, ""geoJSONPolygon"": null}",2026-09-03T11:40:18Z,2026-09-03 04:40:18 PDT
burbank,Electric,6a9858b6d25c63683e6734a6,J.E.26.09.00030,N/A,48,2026-09-02T17:08:54Z,N/A,34.1803413962359,-118.331466703574,False,"{""id"": ""6a9858b6d25c63683e6734a6"", ""serviceType"": ""Electric"", ""currentAffected"": 48, ""fieldValues"": {""areaName"": ""N/A"", ""outageStepOffTime"": ""2026-09-02T17:08:54Z"", ""displayID"": ""J.E.26.09.00030"", ""publishedEtr"": ""N/A""}, ""lat"": 34.1803413962359, ""lon"": -118.331466703574, ""geoJSONPolygon"": null}",2026-09-03T11:40:18Z,2026-09-03 04:40:18 PDT
burbank,Electric,6a9afb6fe0fc81361d4f4f8e,J.E.26.09.00102,N/A,39,2026-09-04T17:07:25Z,2026-09-04T21:15:00Z,34.177736540896,-118.339429445564,False,"{""id"": ""6a9afb6fe0fc81361d4f4f8e"", ""serviceType"": ""Electric"", ""currentAffected"": 39, ""fieldValues"": {""areaName"": ""N/A"", ""outageStepOffTime"": ""2026-09-04T17:07:25Z"", ""displayID"": ""J.E.26.09.00102"", ""publishedEtr"": ""2026-09-04T21:15:00Z""}, ""lat"": 34.177736540896, ""lon"": -118.339429445564, ""geoJSONPolygon"": null}",2026-09-04T18:19:24Z,2026-09-04 11:19:24 PDT
burbank,Electric,6a9afb6fe0fc81361d4f4f8e,J.E.26.09.00102,N/A,39,2026-09-04T17:07:25Z,2026-09-04T21:15:00Z,34.177736540896,-118.339429445564,False,"{""id"": ""6a9afb6fe0fc81361d4f4f8e"", ""serviceType"": ""Electric"", ""currentAffected"": 39, ""fieldValues"": {""areaName"": ""N/A"", ""outageStepOffTime"": ""2026-09-04T17:07:25Z"", ""displayID"": ""J.E.26.09.00102"", ""publishedEtr"": ""2026-09-04T21:15:00Z""}, ""lat"": 34.177736540896, ""lon"": -118.339429445564, ""geoJSONPolygon"": null}",2026-09-04T20:51:33Z,2026-09-04 13:51:33 PDT
burbank,Electric,6a9afb6fe0fc81361d4f4f8e,J.E.26.09.00102,N/A,39,2026-09-04T17:07:25Z,2026-09-04T23:15:00Z,34.177736540896,-118.339429445564,False,"{""id"": ""6a9afb6fe0fc81361d4f4f8e"", ""serviceType"": ""Electric"", ""currentAffected"": 39, ""fieldValues"": {""areaName"": ""N/A"", ""outageStepOffTime"": ""2026-09-04T17:07:25Z"", ""displayID"": ""J.E.26.09.00102"", ""publishedEtr"": ""2026-09-04T23:15:00Z""}, ""lat"": 34.177736540896, ""lon"": -118.339429445564, ""geoJSONPolygon"": null}",2026-09-04T22:37:00Z,2026-09-04 15:37:00 PDT
burbank,Electric,6a9afb6fe0fc81361d4f4f8e,J.E.26.09.00102,N/A,37,2026-09-04T17:07:25Z,2026-09-04T23:45:00Z,34.177736540896,-118.339429445564,False,"{""id"": ""6a9afb6fe0fc81361d4f4f8e"", ""serviceType"": ""Electric"", ""currentAffected"": 37, ""fieldValues"": {""areaName"": ""N/A"", ""outageStepOffTime"": ""2026-09-04T17:07:25Z"", ""displayID"": ""J.E.26.09.00102"", ""publishedEtr"": ""2026-09-04T23:45:00Z""}, ""lat"": 34.177736540896, ""lon"": -118.339429445564, ""geoJSONPolygon"": null}",2026-09-05T00:22:51Z,2026-09-04 17:22:51 PDT
burbank,Electric,6a9afb6fe0fc81361d4f4f8e,J.E.26.09.00102,N/A,37,2026-09-04T17:07:25Z,2026-09-04T23:45:00Z,34.177736540896,-118.339429445564,False,"{""id"": ""6a9afb6fe0fc81361d4f4f8e"", ""serviceType"": ""Electric"", ""currentAffected"": 37, ""fieldValues"": {""areaName"": ""N/A"", ""outageStepOffTime"": ""2026-09-04T17:07:25Z"", ""displayID"": ""J.E.26.09.00102"", ""publishedEtr"": ""2026-09-04T23:45:00Z""}, ""lat"": 34.177736540896, ""lon"": -118.339429445564, ""geoJSONPolygon"": null}",2026-09-05T04:53:55Z,2026-09-04 21:53:55 PDT
burbank,Electric,6a9afb6fe0fc81361d4f4f8e,J.E.26.09.00102,N/A,37,2026-09-04T17:07:25Z,2026-09-04T23:45:00Z,34.177736540896,-118.339429445564,False,"{""id"": ""6a9afb6fe0fc81361d4f4f8e"", ""serviceType"": ""Electric"", ""currentAffected"": 37, ""fieldValues"": {""areaName"": ""N/A"", ""outageStepOffTime"": ""2026-09-04T17:07:25Z"", ""displayID"": ""J.E.26.09.00102"", ""publishedEtr"": ""2026-09-04T23:45:00Z""}, ""lat"": 34.177736540896, ""lon"": -118.339429445564, ""geoJSONPolygon"": null}",2026-09-05T08:58:53Z,2026-09-05 01:58:53 PDT
