utility,incident_id,type,affected_points,start_local_raw,start_utc,etr_local_raw,etr_utc,centroid_lat,centroid_lng,bbox_lat_min,bbox_lng_min,bbox_lat_max,bbox_lng_max,retrieved_utc
anaheim,293426,Current Electric Outage,1293,9/20/2026 8:14 AM,2026-09-20T15:14:00Z,9/20/2026 1:15 PM,2026-09-20T20:15:00Z,33.817993,-117.884059,33.812004563,-117.888838281225,33.8216023584953,-117.879999980825,2026-09-20T16:16:13Z
anaheim,293423,Current Electric Outage,19,9/20/2026 8:08 AM,2026-09-20T15:08:00Z,9/20/2026 12:30 PM,2026-09-20T19:30:00Z,33.827286,-117.948762,33.8177462092715,-117.994242718,33.8342341612,-117.886441010966,2026-09-20T16:16:13Z
anaheim,293422,Current Electric Outage,1,9/20/2026 7:34 AM,2026-09-20T14:34:00Z,9/20/2026 5:00 PM,2026-09-21T00:00:00Z,33.825577,-117.963406,33.8255768671,-117.963405872,33.8255768671,-117.963405872,2026-09-20T16:16:13Z
